Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
26.5,0.014,0.3,19.6,4.5,taro shoots cooked,0.6,20.0,0.0,0.0,0.1,1.0,taro shoots cooked
87.1,0.08,0.059,137.4,5.6,scots kale raw,2.0,28.0,0.0,1.1,0.4,1.9,scots kale raw
0.1,0.097,0.1,0.045,13.5,artichoke raw,0.3,60.0,1.3,6.9,0.2,4.2,artichoke raw
19.6,0.1,0.063,15.6,13.6,navy bean sprouts raw,2.0,70.0,0.0,0.0,0.7,6.4,navy bean sprouts raw
1.1,0.077,0.7,97.6,33.8,sweet pickles,0.4,146.0,29.2,1.6,0.7,0.9,sweet pickles
22.2,0.059,0.4,25.0,5.0,oriental radish cooked,0.2,25.0,2.7,2.4,0.4,1.0,oriental radish cooked
3.9,0.0,0.073,27.3,3.1,sweet potato leaves raw,0.3,15.0,0.0,1.9,0.2,0.9,sweet potato leaves raw
0.2,0.02,0.084,3.6,0.6,irishmoss,0.4,2.0,0.098,0.082,0.049,0.037,irishmoss
13.0,0.091,0.1,63.4,4.7,drumstick leaves cooked,1.0,25.0,0.4,0.8,0.4,2.2,drumstick leaves cooked
14.3,0.08,0.027,32.5,10.0,winter squash raw,0.7,39.0,2.6,1.7,0.2,1.1,winter squash raw
10.4,0.036,0.062,24.4,7.5,pumpkin raw,0.9,30.0,3.2,0.6,0.1,1.2,pumpkin raw
0.062,0.033,0.017,0.079,1.4,chicory greens,0.081,7.0,0.2,1.2,0.096,0.5,chicory greens
0.4,0.2,0.1,0.9,6.8,spinach cooked,0.3,41.0,0.8,4.3,0.5,5.3,spinach cooked
0.0,0.001,1.2,42.0,7.8,radish pickled,0.3,42.0,3.0,3.3,0.5,1.7,radish pickled
0.4,0.1,0.063,0.033,25.0,sweet onion,0.2,106.0,16.6,3.0,0.3,2.6,sweet onion
6.2,0.031,0.028,63.5,20.7,salsify cooked,0.7,92.0,3.9,4.2,0.2,3.7,salsify cooked
11.0,0.077,0.067,19.4,1.4,radish seeds sprouted,0.3,16.0,0.0,0.0,1.0,1.4,radish seeds sprouted
0.2,0.054,0.1,0.057,11.8,turnips raw,0.2,51.0,7.0,3.3,0.2,1.6,turnips raw
3.5,0.088,0.008,48.4,20.5,burdock root raw,0.9,85.0,3.4,3.9,0.2,1.8,burdock root raw
0.4,0.1,0.047,0.049,11.8,red cabbage cooked,0.032,49.0,5.6,4.4,0.2,2.6,red cabbage cooked
0.2,0.043,0.042,0.0,1.6,jute raw,0.049,10.0,0.0,0.0,0.046,1.3,jute raw
0.2,0.048,0.041,0.2,0.3,hot chile pepper dried,0.062,2.0,0.2,0.1,0.054,0.054,hot chile pepper dried
0.4,0.1,0.093,0.0,24.7,salsify raw,0.1,109.0,0.0,4.4,0.3,4.4,salsify raw
24.5,0.076,0.047,26.7,4.9,crookneck squash raw,0.6,24.0,4.5,1.3,0.3,1.3,crookneck squash raw
0.0,0.098,0.0,0.0,7.6,indian squash cooked,0.0,38.0,4.7,3.5,0.4,0.7,indian squash cooked
0.7,0.3,0.091,0.022,65.4,poi,0.4,269.0,0.9,1.0,0.3,0.9,poi
38.5,0.005,0.3,22.9,5.3,sesbania flower cooked,0.6,22.0,0.0,0.0,0.007,1.2,sesbania flower cooked
22.1,0.031,0.5,90.2,29.9,acorn squash cooked,1.9,115.0,0.0,9.0,0.3,2.3,acorn squash cooked
0.2,0.008,0.094,0.068,5.1,cauliflower cooked,0.041,29.0,2.6,2.9,0.6,2.3,cauliflower cooked
20.9,0.014,0.4,39.6,6.8,crookneck squash cooked,0.7,34.0,4.5,2.0,0.7,1.9,crookneck squash cooked
1.0,0.089,0.075,1.8,0.1,laver seaweed,0.087,1.0,0.071,0.09,0.012,0.2,laver seaweed
0.0,0.089,0.4,11.6,29.0,mountain yam cooked,0.6,119.0,0.0,0.0,0.1,2.5,mountain yam cooked
9.2,0.026,0.066,12.9,1.1,pumpkin flowers raw,0.2,5.0,0.0,0.0,0.084,0.3,pumpkin flowers raw
39.2,0.026,0.004,64.4,2.6,mustard greens raw,0.9,15.0,0.7,1.8,0.2,1.6,mustard greens raw
0.1,0.06,0.082,1.2,2.4,arrowhead,0.3,12.0,0.0,0.0,0.084,0.6,arrowhead
1.1,0.094,0.4,72.0,8.5,japanese cabbage,0.7,45.0,2.0,4.7,0.2,2.4,japanese cabbage
14.1,0.092,0.3,14.9,4.5,mung bean sprouts cooked,0.8,24.0,3.5,1.0,0.1,2.5,mung bean sprouts cooked
19.4,0.037,0.4,27.0,5.9,scallop squash cooked,0.6,29.0,2.7,3.4,0.3,1.9,scallop squash cooked
0.7,0.027,0.2,30.5,2.4,pumpkin leaves cooked,2.3,15.0,0.5,1.9,0.2,1.9,pumpkin leaves cooked
25.1,0.053,0.028,3.2,1.8,hungarian pepper,0.1,8.0,1.0,0.3,0.1,0.2,hungarian pepper
22.3,0.043,0.07,43.3,23.6,sweet potato baked,0.8,103.0,7.4,3.8,0.2,2.3,sweet potato baked
20.5,0.05,0.049,58.5,2.5,chinese cabbage pe tsai raw,0.2,12.0,1.1,0.9,0.2,0.9,chinese cabbage pe tsai raw
4.7,0.024,0.054,44.7,27.5,taro raw,0.6,116.0,0.4,4.3,0.2,1.6,taro raw
26.3,0.061,0.047,15.6,11.5,yam bean jicama,0.8,49.0,2.3,6.4,0.1,0.9,yam bean jicama
0.03,0.0,0.001,7.4,0.5,olives,0.5,10.0,0.0,0.1,0.9,0.09,olives
35.4,0.007,0.4,165.2,6.3,mustard greens cooked,1.2,36.0,2.0,2.8,0.7,3.6,mustard greens cooked
6.7,0.049,0.082,49.6,4.4,pumpkin flowers cooked,1.2,20.0,3.2,1.2,0.1,1.5,pumpkin flowers cooked
42.6,0.031,0.3,11.4,15.3,tree fern cooked,0.2,57.0,0.0,5.3,0.096,0.4,tree fern cooked
0.0,0.057,0.06,11.6,123.3,yellow corn raw,4.5,606.0,1.1,12.1,7.9,15.6,yellow corn raw
3.3,0.065,0.08,26.0,1.7,endive,0.4,9.0,0.1,1.6,0.1,0.6,endive
2.4,0.2,0.7,120.0,7.3,wakame,1.7,36.0,0.5,0.4,0.5,2.4,wakame
120.0,0.029,0.003,161.3,8.6,tahitian taro raw,1.6,55.0,0.0,0.0,1.2,3.5,tahitian taro raw
0.2,0.088,0.049,0.092,6.0,broccoli raw,0.016,31.0,1.5,2.4,0.3,2.6,broccoli raw
119.8,0.011,0.023,14.9,6.9,sweet green peppers raw,0.5,30.0,3.6,2.5,0.3,1.3,sweet green peppers raw
44.2,0.012,0.5,158.1,3.0,chinese cabbage pak choi cooked,1.8,20.0,1.4,1.7,0.3,2.7,chinese cabbage pak choi cooked
0.066,0.027,0.049,0.075,0.3,agar,0.002,1.0,0.005,0.027,0.058,0.053,agar
0.085,0.028,0.038,0.069,0.4,watercress,0.063,4.0,0.099,0.2,0.006,0.8,watercress
35.9,0.009,0.3,164.2,7.9,beet greens cooked,2.7,39.0,0.9,4.2,0.3,3.7,beet greens cooked
3.7,0.009,0.068,45.1,18.1,winter squash cooked,0.9,76.0,6.8,5.7,0.7,1.8,winter squash cooked
16.8,0.063,0.017,32.5,1.4,new zealand spinach raw,0.4,8.0,0.2,0.8,0.1,0.8,new zealand spinach raw
2.7,0.067,0.098,9.8,0.9,okra,0.082,4.0,0.2,0.4,0.082,0.2,okra
7.0,0.015,0.031,12.2,31.9,yautia tannier,1.3,132.0,0.0,2.0,0.5,2.0,yautia tannier
117.0,0.1,0.5,284.4,5.0,mustard spinach cooked,1.4,29.0,0.0,3.6,0.4,3.1,mustard spinach cooked
